,domain,question,context,answer_text,span_start,span_end
486,wiki,Em que país Sigmund Freud nasceu?,"Sigmund Freud ( nascido Sigismund Schlomo Freud ; Freiberg in Mähren, 6 de maio de 1856 – Londres, 23 de setembro de 1939 ) foi um médico neurologista e importante psicanalista austríaco. Freud foi o criador da psicanálise e a personalidade mais influente da história no campo da psicologia. A influência de Freud pode ser observada ainda em diversos outros campos do conhecimento e até mesmo na cultura popular, inclusive no uso cotidiano de palavras que se tornaram recorrentes, mas que surgiram a partir de suas teorias. Expressões como "" neurose "", "" repressões "", "" projeções "" popularizaram - se a partir de seus escritos. Freud nasceu em uma família judaica, na cidade de Freiberg in Mähren, na época pertencente ao Império Austríaco, atualmente, denominada Příbor, na República Checa. Iniciou seus estudos pela utilização da técnica da hipnose no tratamento de pacientes diagnosticados, à época, com histeria, como forma de acesso aos seus conteúdos mentais. Ao observar a melhora dos pacientes tratados pelo médico francês Charcot por meio da hipnose, Freud elaborou a hipótese de que a causa da histeria era de ordem psicológica, e não orgânica. Tal hipótese serviu de base para outros conceitos desenvolvidos por Freud, como o do inconsciente. Freud também é conhecido por suas teorias do complexo de édipo e da repressão psicológica e por criar a utilização clínica da psicanálise como tratamento das psicopatologias, através da escuta do paciente. Freud acreditava que o libido era a energia motivacional primária da vida humana. Sua obra fez surgir uma nova compreensão do ser humano, como um animal dotado de razão imperfeita e influenciado por seus desejos e sentimentos. Segundo Freud, a contradição entre esses impulsos e a vida em sociedade gera, no ser humano, certos tormentos",Império Austríaco,723,740
489,wiki,"Qual é a cidade atualmente denominada Příbor, onde Sigmund Freud nasceu?","Sigmund Freud ( nascido Sigismund Schlomo Freud ; Freiberg in Mähren, 6 de maio de 1856 – Londres, 23 de setembro de 1939 ) foi um médico neurologista e importante psicanalista austríaco. Freud foi o criador da psicanálise e a personalidade mais influente da história no campo da psicologia. A influência de Freud pode ser observada ainda em diversos outros campos do conhecimento e até mesmo na cultura popular, inclusive no uso cotidiano de palavras que se tornaram recorrentes, mas que surgiram a partir de suas teorias. Expressões como "" neurose "", "" repressões "", "" projeções "" popularizaram - se a partir de seus escritos. Freud nasceu em uma família judaica, na cidade de Freiberg in Mähren, na época pertencente ao Império Austríaco, atualmente, denominada Příbor, na República Checa. Iniciou seus estudos pela utilização da técnica da hipnose no tratamento de pacientes diagnosticados, à época, com histeria, como forma de acesso aos seus conteúdos mentais. Ao observar a melhora dos pacientes tratados pelo médico francês Charcot por meio da hipnose, Freud elaborou a hipótese de que a causa da histeria era de ordem psicológica, e não orgânica. Tal hipótese serviu de base para outros conceitos desenvolvidos por Freud, como o do inconsciente. Freud também é conhecido por suas teorias do complexo de édipo e da repressão psicológica e por criar a utilização clínica da psicanálise como tratamento das psicopatologias, através da escuta do paciente. Freud acreditava que o libido era a energia motivacional primária da vida humana. Sua obra fez surgir uma nova compreensão do ser humano, como um animal dotado de razão imperfeita e influenciado por seus desejos e sentimentos. Segundo Freud, a contradição entre esses impulsos e a vida em sociedade gera, no ser humano, certos tormentos",Freiberg in Mähren,50,68
490,wiki,Qual é o significado de célula?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",pequeno aposento,43,59
491,wiki,Como são frequentemente chamadas as células?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",blocos de construção da vida,232,260
492,wiki,Qual é um exemplo de organismo unicelular?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",as bactérias,713,725
493,wiki,Quais são os dois exemplos de organismos multicelulares?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",incluindo plantas e animais,748,775
495,wiki,Quantas células existem em humanos?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",40 trilhões,981,992
497,wiki,Como são frequentemente chamadas as células?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.", blocos de construção da vida,231,260
501,wiki,Quais são os dois exemplos de organismos multicelulares?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",plantas e animais,758,775
502,wiki,O que é uma célula?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",a menor unidade funcional da matéria viva,145,186
505,wiki,De que são compostas as células?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",citoplasma,367,377
509,wiki,Quantas células o corpo humano contém?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",40 trilhões,981,992
510,wiki,Qual é a menor unidade funcional da matéria viva?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",Uma célula,132,142
511,wiki,Qual é a unidade básica de todos os organismos?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",A célula,0,8
514,wiki,Qual é a área do estudo das células?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",biologia celular ou citologia,298,327
515,wiki,Qual é a tradução para o português de cella?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",pequeno aposento,43,59
517,wiki,Qual é a faixa de tamanho das células vegetais e animais?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",1 e 100 micrômetros,596,615
518,wiki,Como são classificados os organismos unicelulares?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",microorganismos,840,855
525,wiki,Como é chamado o estudo das células?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",biologia celular ou citologia,298,327
526,wiki,O que significa cella em latim?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",pequeno aposento,43,59
530,wiki,Quantas células existem em um ser humano?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",40 trilhões * ( 4×1013 ) de células,981,1016
532,wiki,"O que é uma célula, de acordo com o texto?","A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",""" ) é a unidade básica e fundamental de todos os organismos conhecidos.",60,131
533,wiki,Como as células são frequentemente chamadas?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",blocos de construção da vida,232,260
534,wiki,O que envolve o citoplasma das células?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",uma membrana plasmática,465,488
535,wiki,Qual é o estudo das células chamado?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",biologia celular ou citologia,298,327
536,wiki,Quantas células estima-se que os humanos contenham?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",algo em torno de 40 trilhões * ( 4×1013,964,1003
537,wiki,De que é composta a célula?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.","citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática",367,488
538,wiki,O que é a citologia?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",O estudo das células,264,284
541,wiki,Quantas células estima-se que os humanos contêm?,"A célula ( do latim cella, que significa "" pequeno aposento "" ) é a unidade básica e fundamental de todos os organismos conhecidos. Uma célula é a menor unidade funcional da matéria viva. As células são frequentemente chamadas de "" blocos de construção da vida "". O estudo das células é denominado biologia celular ou citologia. Todas as as células são compostas por citoplasma, constituído por água e biomoléculas, como ácidos nucleicos e e proteínas, envolto por uma membrana plasmática. A maioria das células vegetais e animais são visíveis apenas ao microscópio, apresentando dimensões entre 1 e 100 micrômetros. Os organismos podem ser classificados como unicelulares ( consistindo em uma única célula, como as bactérias ) ou multicelulares ( incluindo plantas e animais ). A maioria dos organismos unicelulares são classificados como microorganismos. O número de células em plantas e animais varia de espécie para espécie ; estima - se que os humanos contêm algo em torno de 40 trilhões * ( 4×1013 ) de células. O cérebro humano contém cerca de 80 bilhões dessas células.",algo em torno de 40 trilhões * ( 4×1013 ) de células,964,1016
